str,peak,fin,amplitude,rippleDetection_rippleTrlDef
3686,4686,5686,3.10073496664113,1
6212,7212,8212,3.90810129244441,0
6796,7796,8796,5.68935813527038,1
18612,19612,20612,5.26462081396317,1
23523,24523,25523,4.99833266644577,1
25215,26215,27215,4.44116523536158,1
32596,33596,34596,4.61215400056044,1
49396,50396,51396,5.83400468363589,0
49514,50514,51514,5.40844494563279,1
81733,82733,83733,5.4573747555438,1
82818,83818,84818,5.38293743612888,0
92176,93176,94176,3.75961192367689,0
93250,94250,95250,4.82304215352928,1
98805,99805,100805,3.11840223793993,1
108338,109338,110338,3.5535550907162,0
114194,115194,116194,3.29306359124449,1
117868,118868,119868,4.6146330376362,1
121725,122725,123725,3.17305542083911,0
132990,133990,134990,5.82139439691498,1
136652,137652,138652,3.85329399209774,1
139106,140106,141106,2.86420823763378,0
148506,149506,150506,4.91611943184178,1
148842,149842,150842,3.11541790523739,1
169362,170362,171362,4.4186223665898,1
169940,170940,171940,3.15913386893516,0
173073,174073,175073,3.211602429535,1
174659,175659,176659,5.54299363431821,1
176304,177304,178304,5.15093866198138,0
177706,178706,179706,3.74520099297351,0
180416,181416,182416,4.14086515840169,0
190277,191277,192277,4.32216220468132,1
192462,193462,194462,3.71659153382516,1
202271,203271,204271,5.09519739723912,1
236263,237263,238263,3.20141656233006,0
245482,246482,247482,6.06230531616937,1
257004,258004,259004,3.67507998677381,1
258463,259463,260463,4.38433043203639,0
266893,267893,268893,4.80067852487535,0
289961,290961,291961,5.63745291043866,1
294884,295884,296884,4.19892486679281,0
302207,303207,304207,3.92243937252488,1
302505,303505,304505,4.1490132829246,0
304829,305829,306829,4.31676899334716,1
313424,314424,315424,3.43632634792652,0
319175,320175,321175,5.37790275457577,1
320697,321697,322697,5.68721686048784,0
323646,324646,325646,4.68068770151663,1
331177,332177,333177,5.2461000063199,1
346839,347839,348839,4.25008792537608,1
349046,350046,351046,3.87829514659311,0
350087,351087,352087,4.2414841119018,0
352017,353017,354017,5.66651018584107,1
362968,363968,364968,5.50567323120377,1
367819,368819,369819,3.42994925227687,1
369267,370267,371267,3.41209243665623,1
384807,385807,386807,4.48300145424795,1
394906,395906,396906,5.17602897104013,1
396744,397744,398744,3.12762446269489,1
398080,399080,400080,3.74369510578668,1
417210,418210,419210,5.92847117369874,1
417652,418652,419652,3.04391973496231,0
429849,430849,431849,3.59839468241785,1
436113,437113,438113,5.42750604450721,0
462555,463555,464555,3.70528991760431,1
464096,465096,466096,5.38772649630752,1
486859,487859,488859,4.17126136549463,1
489204,490204,491204,5.39723879747393,0
515501,516501,517501,6.51775588284504,0
537883,538883,539883,4.97985609382034,1
549263,550263,551263,5.96247811437382,1
552477,553477,554477,3.59899065367649,0
552518,553518,554518,3.78862096266813,0
577774,578774,579774,4.37084018796796,1
2195478,2196478,2197478,4.56417183808005,1
2213364,2214364,2215364,2.9767336665148,0
2213623,2214623,2215623,3.59918421670947,1
2227203,2228203,2229203,5.50742824332309,1
2292614,2293614,2294614,4.02402599598645,1
2293108,2294108,2295108,3.63357706861045,1
2295703,2296703,2297703,5.93471493481967,1
2299643,2300643,2301643,4.41709915955437,1
2318118,2319118,2320118,3.57864795049627,1
2318400,2319400,2320400,5.83673531851164,0
2323965,2324965,2325965,6.4838443902802,1
2324623,2325623,2326623,6.71294756506257,1
2357235,2358235,2359235,4.26328063336998,1
2368994,2369994,2370994,3.68448174575562,1
2412918,2413918,2414918,5.06878426341605,1
2414540,2415540,2416540,3.78046927824237,1
2415316,2416316,2417316,4.92204469963306,1
2440764,2441764,2442764,5.10783146705744,0
2463938,2464938,2465938,6.58259778227683,0
2464002,2465002,2466002,4.70433928189719,0
2473602,2474602,2475602,4.2812552613157,1
2518184,2519184,2520184,4.18979559252332,1
2524438,2525438,2526438,5.35357987588581,0
2527429,2528429,2529429,3.86334517951116,1
2528887,2529887,2530887,4.37421471600391,1
2571888,2572888,2573888,3.8782500884024,1
2572633,2573633,2574633,5.81480453425903,1
2574953,2575953,2576953,6.59457419460965,1
2582389,2583389,2584389,3.46356309833386,1
2597302,2598302,2599302,3.91591054574612,1
2599117,2600117,2601117,4.07598157739993,1
2599576,2600576,2601576,5.9268660708894,0
2629718,2630718,2631718,4.33265907844308,1
2631962,2632962,2633962,5.45071704454152,0
2632541,2633541,2634541,3.149683627537,1
2667108,2668108,2669108,4.17927171606211,1
2668921,2669921,2670921,5.64126743196507,1
2670050,2671050,2672050,5.75759593974805,1
2688602,2689602,2690602,3.88142089598848,0
2707391,2708391,2709391,4.15301978137087,1
2712813,2713813,2714813,5.17436065216605,1
2716100,2717100,2718100,4.14523074916406,1
2734549,2735549,2736549,4.34512966563178,1
2746807,2747807,2748807,4.61588203154927,1
2760191,2761191,2762191,3.42086323189492,0
2770751,2771751,2772751,6.6338270913096,0
2794225,2795225,2796225,6.59960968737296,1
2807523,2808523,2809523,3.5929219310436,1
2859905,2860905,2861905,4.37290427472602,1
2900397,2901397,2902397,4.05579456136493,1
2927853,2928853,2929853,3.66211965886057,1
2935402,2936402,2937402,4.41025854009516,0
2935619,2936619,2937619,6.6334693933988,0
2949462,2950462,2951462,5.51033121007542,0
2954753,2955753,2956753,5.06805693836314,1
2969989,2970989,2971989,5.78459662106951,0
2977383,2978383,2979383,4.95595756027487,0
2980481,2981481,2982481,3.61743736540914,0
3001107,3002107,3003107,5.3042891469512,1
3010382,3011382,3012382,6.63507342561635,0
3023359,3024359,3025359,4.86192857582649,1
3048619,3049619,3050619,4.239137272518,1
3056318,3057318,3058318,3.83004025097201,1
3059716,3060716,3061716,4.29484527333709,1
3072798,3073798,3074798,4.42201822147677,1
3089170,3090170,3091170,4.94805571242389,0
3089334,3090334,3091334,6.84002149008047,1
3101151,3102151,3103151,4.43336463492024,1
3125520,3126520,3127520,4.0985404838248,1
3127362,3128362,3129362,6.32343256977941,1
3134220,3135220,3136220,5.42722249016502,1
3153662,3154662,3155662,4.55878921834852,1
3155665,3156665,3157665,6.13739310579821,1
3160204,3161204,3162204,4.76669723014406,1
3203881,3204881,3205881,2.99278748027543,1
3215086,3216086,3217086,5.5767819175304,1
3253449,3254449,3255449,5.13112505803175,1
3284255,3285255,3286255,5.34573639725973,1
3292375,3293375,3294375,3.74278627943154,1
3344541,3345541,3346541,3.50163777172849,1
3344823,3345823,3346823,3.76596951701668,1
3358028,3359028,3360028,4.49776934164467,1
3369156,3370156,3371156,3.66443119739734,1
3391184,3392184,3393184,4.81184484101605,1
3430037,3431037,3432037,2.83043635615799,1
3435923,3436923,3437923,4.52160387764597,1
3436579,3437579,3438579,5.1166653822705,1
3485535,3486535,3487535,4.96406293001014,1
3485718,3486718,3487718,4.66925272002984,1
3489051,3490051,3491051,4.19929552474383,0
3519735,3520735,3521735,4.36686917048068,1
3563289,3564289,3565289,6.84570632542377,1
3564462,3565462,3566462,5.53320630358861,0
3565333,3566333,3567333,6.32430938954537,1
3587253,3588253,3589253,3.226040071765,1
3603630,3604630,3605630,5.64697757850289,1
3619900,3620900,3621900,5.74408218933217,0
3622796,3623796,3624796,3.36578932207095,1
3629222,3630222,3631222,2.95870977790897,1
3671162,3672162,3673162,3.68692137640489,1
3689045,3690045,3691045,5.18604484605884,1
3696179,3697179,3698179,3.65781499282695,0
3723490,3724490,3725490,6.08762247645927,1
3731851,3732851,3733851,5.42292029175931,1
3781160,3782160,3783160,4.83269988265212,0
3782235,3783235,3784235,6.93220492749694,1
3854444,3855444,3856444,5.64346060208435,1
3873288,3874288,3875288,4.43756329770322,1
3887105,3888105,3889105,5.45537590044082,1
3893971,3894971,3895971,4.12803980324475,1
3902588,3903588,3904588,6.26311253421973,1
3914123,3915123,3916123,4.55028262392167,1
3915774,3916774,3917774,3.62906240795732,1
