str,peak,fin,amplitude,rippleDetection_rippleTrlDef
3430050,3431050,3432050,2.10603531556205,1
3450220,3451220,3452220,4.30456400201468,1
3468096,3469096,3470096,2.37583910349709,0
3490273,3491273,3492273,3.85449646117739,1
3498514,3499514,3500514,3.29516569387276,1
3498693,3499693,3500693,2.20739615865971,0
3499009,3500009,3501009,2.96433887601374,1
3566989,3567989,3568989,4.07061042541344,1
3568231,3569231,3570231,4.29042562553829,1
3625368,3626368,3627368,2.22989134509351,0
3653831,3654831,3655831,2.07591225624205,0
3695130,3696130,3697130,2.3732090823445,1
3703933,3704933,3705933,3.51905088525126,1
3723133,3724133,3725133,3.96244686550702,1
3740202,3741202,3742202,3.00131613997974,0
3742800,3743800,3744800,3.1222691254109,0
3761436,3762436,3763436,2.19047655308723,1
3769213,3770213,3771213,2.80979288245788,0
3788026,3789026,3790026,2.55648042999787,0
3794905,3795905,3796905,3.6493583012867,1
3800900,3801900,3802900,2.45621490509064,1
3825449,3826449,3827449,3.12650867590049,1
3850453,3851453,3852453,2.78243872435902,1
3857872,3858872,3859872,3.34660838016349,1
3925637,3926637,3927637,2.8333281104521,1
3938644,3939644,3940644,1.94589843092425,1
3977333,3978333,3979333,4.3837093459925,1
4022745,4023745,4024745,2.59613258236759,0
4054275,4055275,4056275,3.34335097039412,1
4054984,4055984,4056984,2.53778414189538,1
4055129,4056129,4057129,2.96080215653111,0
4055215,4056215,4057215,2.23340944421088,0
4072053,4073053,4074053,3.83141480005036,0
4082568,4083568,4084568,2.02693137041637,0
4143465,4144465,4145465,2.89702326083809,1
4146022,4147022,4148022,2.82112453262086,1
4591619,4592619,4593619,3.3804289439068,1
4604471,4605471,4606471,3.07372298235377,1
4609075,4610075,4611075,2.34028624106679,0
4613071,4614071,4615071,2.6195760457252,0
4616497,4617497,4618497,2.5758237856044,1
4616601,4617601,4618601,2.05501882621593,0
4617532,4618532,4619532,3.44322537214962,1
4644803,4645803,4646803,2.54495083570289,0
4669418,4670418,4671418,3.37594137643102,0
4673694,4674694,4675694,2.91129788222898,0
4690908,4691908,4692908,3.04599303849395,1
4700416,4701416,4702416,4.37631196822511,1
4700517,4701517,4702517,4.04334003372803,0
4720346,4721346,4722346,3.78496045488343,1
4747950,4748950,4749950,2.28997935204713,1
4776167,4777167,4778167,2.87305638969078,1
4802018,4803018,4804018,2.38772304903254,0
4827268,4828268,4829268,2.88160950508973,1
4832785,4833785,4834785,2.83746608905178,1
4836795,4837795,4838795,2.35722228375624,1
4837384,4838384,4839384,3.21039304423186,1
4849626,4850626,4851626,2.19770530121243,1
4864527,4865527,4866527,4.26009469379032,0
4872118,4873118,4874118,2.22937785377292,1
4872645,4873645,4874645,2.13237140041723,1
4879446,4880446,4881446,2.78264360868678,1
4922197,4923197,4924197,3.64036023827144,0
4950080,4951080,4952080,3.21175824017167,1
4961124,4962124,4963124,3.10272961018321,1
4993061,4994061,4995061,4.00392907491188,0
4998636,4999636,5000636,3.65008283122525,0
5001749,5002749,5003749,3.53391221445687,1
5003113,5004113,5005113,3.86672093705396,0
5019210,5020210,5021210,4.09607012586233,1
5079888,5080888,5081888,4.07203435476318,1
5084633,5085633,5086633,3.87471055087863,1
5107152,5108152,5109152,3.84363501973715,1
5150336,5151336,5152336,4.29423396152155,1
5230372,5231372,5232372,4.35199301104936,1
5283056,5284056,5285056,3.98265417926162,1
5306474,5307474,5308474,4.29286979775476,0
5329931,5330931,5331931,3.1187380349319,1
5337781,5338781,5339781,2.64583411108345,0
5337956,5338956,5339956,3.62770645173521,0
5344390,5345390,5346390,3.54922904162272,1
5386936,5387936,5388936,2.58618468917391,1
5434579,5435579,5436579,2.19044992339503,1
5470037,5471037,5472037,2.11012309759523,1
5487072,5488072,5489072,2.63643264382395,1
5488152,5489152,5490152,2.55431821998684,0
5488299,5489299,5490299,4.16999496370948,1
5488439,5489439,5490439,3.22725395665476,0
5530299,5531299,5532299,3.15389432057113,1
5534198,5535198,5536198,2.37118167767975,1
5545097,5546097,5547097,2.27537800802401,0
5545240,5546240,5547240,4.29773053636935,0
5567507,5568507,5569507,2.81465794013464,1
5663537,5664537,5665537,2.37659038775322,1
5709907,5710907,5711907,3.22517561355363,0
5742471,5743471,5744471,2.32547561873108,1
5749973,5750973,5751973,2.14470695005366,1
5750212,5751212,5752212,3.21855836143951,0
5753680,5754680,5755680,2.86888306336641,0
5753750,5754750,5755750,3.47799228507045,0
5759817,5760817,5761817,2.76660665438718,1
5769044,5770044,5771044,2.00124407925484,1
5981365,5982365,5983365,3.17729950130319,1
5996867,5997867,5998867,2.45817066248774,1
6168573,6169573,6170573,3.76286246696786,0
6170011,6171011,6172011,3.4949237050413,0
6170137,6171137,6172137,4.21573030637277,1
6173179,6174179,6175179,4.37224656666086,1
6196110,6197110,6198110,2.68068616764458,1
6198756,6199756,6200756,3.14776030574935,0
6206104,6207104,6208104,2.65568198212639,0
6219201,6220201,6221201,2.62549400885106,1
6219404,6220404,6221404,3.81576029897321,1
6288104,6289104,6290104,4.26817586311152,1
6316009,6317009,6318009,4.00002691030888,1
6320125,6321125,6322125,4.20370300333058,1
6448585,6449585,6450585,2.81031284119909,1
6563033,6564033,6565033,2.25101904110943,1
6612076,6613076,6614076,3.57354250089035,0
6726641,6727641,6728641,2.46987175769101,1
6740567,6741567,6742567,2.46470829159314,1
6825494,6826494,6827494,2.74256226063206,1
6878101,6879101,6880101,2.30463549599783,1
6904534,6905534,6906534,3.85865786141181,1
6904862,6905862,6906862,2.34312274317136,1
6906078,6907078,6908078,3.80960042399873,1
6906227,6907227,6908227,4.35947921576007,0
6912658,6913658,6914658,2.29502918392948,1
6926664,6927664,6928664,3.80607884995534,1
6927144,6928144,6929144,3.70980393981128,1
6962052,6963052,6964052,2.77042296972104,1
6966211,6967211,6968211,2.84135078697942,0
6990317,6991317,6992317,2.37851280828105,0
7069073,7070073,7071073,3.50292256956966,1
7076898,7077898,7078898,3.08314728642311,0
7084135,7085135,7086135,3.86949214015269,1
7149879,7150879,7151879,2.23171755506083,0
7206169,7207169,7208169,3.41409102559449,1
7246296,7247296,7248296,3.48123120307336,0
7303704,7304704,7305704,4.25705701067538,1
7322787,7323787,7324787,2.69247571869451,0
7356410,7357410,7358410,3.94671967198638,1
7398219,7399219,7400219,2.79031985182337,0
7408435,7409435,7410435,3.19364451832387,0
7412341,7413341,7414341,2.45193074848746,0
7412425,7413425,7414425,4.05066439398677,1
7414503,7415503,7416503,2.59163752294752,1
7417045,7418045,7419045,2.49624826032228,0
7417155,7418155,7419155,2.59436774875151,0
7417556,7418556,7419556,3.18497552418269,0
7472019,7473019,7474019,3.82201531845898,1
7480749,7481749,7482749,2.77650947001907,1
7481239,7482239,7483239,3.26308723347693,0
7495480,7496480,7497480,2.11263299235691,0
7516337,7517337,7518337,3.38299570256319,1
7550723,7551723,7552723,2.89735009436841,1
7714427,7715427,7716427,2.89433179668214,1
7714746,7715746,7716746,2.91773560109348,0
7715090,7716090,7717090,4.08149939062824,0
7718056,7719056,7720056,2.17717114161375,0
7724635,7725635,7726635,3.00829923624333,0
7811694,7812694,7813694,2.25558812898509,0
7832766,7833766,7834766,3.25261914793058,0
7838293,7839293,7840293,2.45104096516132,0
7909440,7910440,7911440,3.79845858117734,1
7943960,7944960,7945960,2.99667682323583,1
7999091,8000091,8001091,3.90244602380744,1
9373246,9374246,9375246,3.430976309082,1
9383126,9384126,9385126,3.80237779921873,0
9385836,9386836,9387836,2.05696197634317,0
9445491,9446491,9447491,2.95314203693952,0
9509150,9510150,9511150,2.97080807656431,1
9548156,9549156,9550156,2.85711767112858,0
9593741,9594741,9595741,4.22351058817788,1
9616147,9617147,9618147,3.8920960791801,1
9631046,9632046,9633046,4.11740328886046,1
9712977,9713977,9714977,2.99977981031258,1
9868696,9869696,9870696,4.38704988474326,1
9907804,9908804,9909804,3.57352214949256,1
9962622,9963622,9964622,3.18066412303882,0
10164089,10165089,10166089,3.02745861676152,1
10209460,10210460,10211460,3.24543777008114,1
10215143,10216143,10217143,3.60777789472065,1
10229369,10230369,10231369,3.89203344973702,1
10310588,10311588,10312588,4.06045052147384,1
10336613,10337613,10338613,4.38045649140075,1
10340513,10341513,10342513,4.27186695429887,1
10355997,10356997,10357997,2.76218152917034,1
10364707,10365707,10366707,3.71017024607121,1
10467514,10468514,10469514,3.19948610668564,1
10476205,10477205,10478205,2.93907138406908,0
10489749,10490749,10491749,3.35967792700836,1
10499036,10500036,10501036,2.80191521119867,1
10500099,10501099,10502099,3.2431853361768,1
10524301,10525301,10526301,4.16583591384015,1
10588857,10589857,10590857,3.63142604223437,1
10611009,10612009,10613009,3.43544884447049,1
10669599,10670599,10671599,3.79902352262859,0
10689614,10690614,10691614,3.82651161473247,1
10689780,10690780,10691780,2.89282189684037,0
10692080,10693080,10694080,2.43446186421153,1
10701783,10702783,10703783,3.71519868057284,0
10746567,10747567,10748567,4.2227203697715,1
10758767,10759767,10760767,2.92310057912539,1
10758839,10759839,10760839,3.04760048823543,0
10779368,10780368,10781368,3.02653952532135,1
10779715,10780715,10781715,3.01291676880685,0
10799448,10800448,10801448,2.9847937756977,1
10808513,10809513,10810513,3.01944917852304,0
10808605,10809605,10810605,3.04996622698918,0
10836983,10837983,10838983,3.95702797565101,1
10838649,10839649,10840649,4.31199979208627,1
10842028,10843028,10844028,3.89831905767663,1
10842294,10843294,10844294,3.35688895537054,1
10889857,10890857,10891857,4.0584615793301,1
10951718,10952718,10953718,3.50457198050066,0
10956086,10957086,10958086,3.69439135562411,1
10956233,10957233,10958233,4.18062282051095,0
11002811,11003811,11004811,2.60671927950994,0
11018640,11019640,11020640,3.98506600435831,0
11025390,11026390,11027390,3.5466505837549,1
11026460,11027460,11028460,3.28006307092672,1
11044549,11045549,11046549,2.52817342822325,1
11128428,11129428,11130428,2.5309065077352,1
11129536,11130536,11131536,3.48468093512925,1
11167744,11168744,11169744,4.16360688837852,1
11207297,11208297,11209297,3.17875046633053,1
11212520,11213520,11214520,3.16419406577819,0
11274313,11275313,11276313,2.27769806118772,1
11327481,11328481,11329481,3.35926961970085,0
11331864,11332864,11333864,3.75941633989371,1
11337194,11338194,11339194,3.93960947358449,1
11341596,11342596,11343596,2.38293869617205,1
11379263,11380263,11381263,3.27466415793651,1
11383193,11384193,11385193,3.74809414203356,1
11383738,11384738,11385738,2.58583298266831,1
11402246,11403246,11404246,3.75956203973411,0
11616408,11617408,11618408,3.53364875863309,1
11616459,11617459,11618459,2.31226879361516,0
